tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt5580684,tvSpecial,Wim Helsen: Heden Soup!,Wim Helsen: Heden Soup!,0,2005,\N,75,"Comedy,Documentary",8.3,41
tt5582472,tvSpecial,Toon Hermans: De auditie: Duif is dood!,Toon Hermans: De auditie: Duif is dood!,0,1967,\N,135,"Comedy,Documentary",7.4,6
tt5582812,tvSpecial,Hans Liberg: Viagratijden,Hans Liberg: Viagratijden,0,1998,\N,91,"Documentary,Music",7.0,6
tt5583374,tvSpecial,Piers: The Trump Interview,Piers: The Trump Interview,0,2016,\N,50,Talk-Show,3.8,13
tt5586040,tvSpecial,Alex Klaasen: Eindelijk alleen,Alex Klaasen: Eindelijk alleen,0,2010,\N,80,"Comedy,Documentary",7.5,14
tt5588026,tvSpecial,Theo Maassen: Oudejaarsconference 2013 - Einde oefening,Theo Maassen: Oudejaarsconference 2013 - Einde oefening,0,2013,\N,82,"Comedy,Documentary",7.7,77
tt5588520,tvSpecial,Silvester Zwaneveld: In de lift,Silvester Zwaneveld: In de lift,0,2014,\N,50,"Comedy,Documentary",8.1,8
tt5590426,tvSpecial,Stefan Pop: Popaganda,Stefan Pop: Popaganda,0,2012,\N,64,"Comedy,Documentary",7.8,6
tt5591604,tvSpecial,Pieter Derks: Een oudejaars,Pieter Derks: Een oudejaars,0,2013,\N,57,"Comedy,Documentary",7.5,9
tt5591608,tvSpecial,The Late Late Show Carpool Karaoke Primetime Special,The Late Late Show Carpool Karaoke Primetime Special,0,2016,\N,\N,Music,6.6,118
tt5593068,tvSpecial,Arie & Silvester: Wegens ziekte uitgesteld,Arie & Silvester: Wegens ziekte uitgesteld,0,1996,\N,24,"Comedy,Documentary",7.5,11
tt5593106,tvSpecial,Freek de Jonge: De mars,Freek de Jonge: De mars,0,1983,\N,134,"Comedy,Documentary",7.7,12
tt5593204,tvSpecial,Arie & Silvester: Kloten!,Arie & Silvester: Kloten!,0,1998,\N,90,"Comedy,Documentary",6.5,14
